first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id,full_name
Geoff,Cameron,0,1,58,1629,25,165.0,354.4,174,5,340,69.6,6,0,1,0.4,320,Geoff Cameron
Erik,Pieters,0,2,103,3151,50,353.8,583.2,130,9,614,107.1,10,0,5,6.7,321,Erik Pieters
Marc,Muniesa,1,0,34,650,7,59.7,172.4,50,3,153,28.2,3,0,2,0.8,322,Marc Muniesa
Phil,Bardsley,0,0,27,1168,17,146.7,155.0,51,0,174,35.4,3,1,4,0.1,323,Phil Bardsley
Philipp,Wollscheid,0,0,1,180,5,3.4,36.4,10,0,23,5.0,0,0,1,0.2,324,Philipp Wollscheid
Glen,Johnson,0,0,56,1957,34,176.1,350.0,101,3,376,62.8,6,0,1,0.1,325,Glen Johnson
Dionatan do Nascimento,Teixeira,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.4,326,Dionatan do Nascimento Teixeira
Stephen,Ireland,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,327,Stephen Ireland
Charlie,Adam,1,4,59,1491,23,477.6,263.4,328,5,218,106.7,6,0,7,0.3,328,Charlie Adam
Glenn,Whelan,0,1,62,2276,40,336.6,392.6,41,3,380,77.0,7,0,5,0.7,329,Glenn Whelan
Jonathan,Walters,4,3,72,1304,22,198.7,294.0,487,3,195,98.0,6,0,1,0.1,330,Jonathan Walters
Marko,Arnautovic,6,7,117,2713,43,768.7,530.4,861,8,401,216.2,9,1,9,1.0,331,Marko Arnautovic
Ibrahim,Afellay,0,0,15,384,5,55.2,32.0,63,0,63,14.8,0,0,0,0.0,332,Ibrahim Afellay
Xherdan,Shaqiri,4,2,80,1699,21,672.9,293.6,453,8,275,141.6,8,0,2,3.0,333,Xherdan Shaqiri
Giannelli,Imbula,0,1,24,796,20,111.3,65.0,44,1,126,22.0,2,0,1,0.1,334,Giannelli Imbula
Bojan,Krkic,3,0,30,475,12,84.5,125.4,114,4,93,32.1,0,0,1,0.7,335,Bojan Krkic
Peter,Crouch,7,3,79,1343,23,260.9,346.6,664,7,262,126.8,4,0,3,3.4,336,Peter Crouch
Mame Biram,Diouf,1,2,51,1385,26,148.6,198.0,340,2,190,68.4,5,0,3,0.3,337,Mame Biram Diouf
Jose Luis,Mato Sanmartín,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,338,Jose Luis Mato Sanmartín
Vito,Mannone,0,0,34,810,19,0.0,247.0,0,6,187,24.8,2,0,0,0.6,339,Vito Mannone
Jordan,Pickford,0,0,102,2610,50,40.0,933.0,0,9,608,97.4,4,0,0,11.0,340,Jordan Pickford
Younes,Kaboul,2,0,57,1910,36,31.5,443.2,243,1,342,71.8,4,0,2,0.6,341,Younes Kaboul
John,O'Shea,0,1,47,2158,42,21.3,453.4,98,3,335,57.0,3,0,5,0.4,342,John O'Shea
Billy,Jones,1,0,56,2270,49,387.5,476.8,270,6,368,113.5,5,0,8,0.1,343,Billy Jones
Patrick,van Aanholt,5,1,98,2498,53,534.2,616.0,383,9,534,153.5,5,0,3,3.6,344,Patrick van Aanholt
