full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Mousa Dembélé,1,2,128,3931,39,712.8,716.4,194.0,9,814,162.7,18,0,11,2.2,776
Moussa Sissoko,1,4,101,2294,23,658.9,378.8,493.0,0,408,152.1,11,0,6,0.5,965
N'Golo Kanté,2,3,184,6132,65,1071.0,1191.4,443.0,10,1209,270.7,29,0,12,23.4,206
Nacho Monreal,5,5,245,5394,72,519.0,1247.6,525.0,24,1285,229.8,21,0,8,14.4,20
Nahki Wells,0,0,9,46,3,3.5,7.2,37.0,0,20,4.7,0,0,0,0.1,185
Nampalys Mendy,0,0,6,269,5,24.9,16.8,0.0,0,26,4.0,1,0,1,0.3,388
Nathan Aké,5,4,157,4186,79,170.6,1305.6,434.0,16,909,191.0,9,0,6,12.2,74
Nathan Holland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,665
Nathan Redmond,8,4,198,4836,71,1511.1999999999998,892.6,1514.0,16,779,391.0,19,1,5,9.200000000000001,628
Nathaniel Chalobah,0,1,25,614,10,77.6,119.4,102.0,0,94,29.9,3,0,3,0.8,642
Nathaniel Clyne,0,2,136,3496,42,740.3,533.8,335.0,13,760,161.1,13,0,1,10.600000000000001,410
Nemanja Matic,2,9,196,5811,50,875.0,1228.1999999999998,447.0,4,1126,255.4,31,0,10,13.0,194
Nick Pope,0,0,152,3114,35,40.0,862.4,0.0,19,701,90.1,11,0,3,12.6,940
Nicolás Otamendi,5,2,256,5558,53,350.2,1619.0,639.0,31,1382,261.29999999999995,24,0,18,29.0,471
Nikola Vlasic,0,0,18,572,12,159.1,91.8,85.0,0,80,33.6,1,0,0,0.0,539
Oleksandr Zinchenko,0,0,16,530,3,145.9,116.4,21.0,0,104,28.3,3,0,1,0.0,789
Olivier Giroud,19,6,193,2187,27,586.2,829.6,1470.0,27,705,287.9,9,0,2,8.4,50
Oriol Romeu Vidal,2,0,148,5968,89,619.2,1201.8000000000002,471.0,4,1040,229.4,21,0,22,3.3,630
Oumar Niasse,12,4,127,2172,53,322.2,576.4000000000001,1051.0,17,373,192.0,2,1,5,5.4,693
Pablo Zabaleta,1,2,135,4354,80,461.4,873.6,190.0,11,793,152.8,12,0,11,3.0999999999999996,668
Pape Souaré,0,0,7,278,3,34.6,53.800000000000004,9.0,0,40,9.799999999999999,0,0,0,0.2,230
Pascal Groß,7,8,164,2928,46,1311.0,735.4,527.0,24,635,257.6,10,0,2,15.4,70
Patrick van Aanholt,10,2,193,4680,91,838.0,1153.0,702.0,16,982,269.8,11,0,10,6.7,468
Paul Dummett,0,0,52,1602,18,97.8,333.6,58.0,0,280,49.0,5,0,1,1.1,291
Paul Pogba,11,17,253,4753,41,1617.0,1423.8,1619.0,29,1040,465.6,24,1,12,22.0,785
Paulo Gazzaniga,0,0,9,90,0,0.0,27.4,0.0,2,26,2.7,1,0,0,0.1,860
Pedro Obiang,3,2,109,3325,61,263.4,689.2,140.0,12,601,109.5,9,0,10,1.0,912
Pedro Rodríguez Ledesma,13,12,243,3651,29,1107.9,977.4,1167.0,20,852,323.4,23,0,7,9.5,199
