full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Ben Mee,1,2,184,5625,76,168.2,1638.6,630.0,12,1083,244.0,18,0,10,9.5,133
Ben Watson,0,0,13,509,14,47.4,79.8,10.0,0,67,13.7,0,1,1,0.7,904
Ben Woodburn,0,0,6,92,1,14.899999999999999,7.800000000000001,36.0,0,17,5.9,0,0,0,0.3,836
Ben Wynter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,585
Beni Baningime,0,0,7,192,2,3.8,9.4,0.0,0,20,1.3,0,0,1,0.0,563
Benik Afobe,6,6,112,1992,36,383.3,383.8,858.0,9,332,162.10000000000002,5,0,1,1.4,101
Benjamin Chilwell,1,2,84,2547,48,380.5,519.8,151.0,4,517,105.2,7,1,3,3.3000000000000003,692
Benjamin Mendy,0,1,20,360,1,139.3,84.2,48.0,1,96,27.2,2,0,2,0.4,484
Beram Kayal,0,0,25,735,14,137.0,111.2,48.0,0,115,29.6,1,0,2,0.1,64
Bernardo Espinosa Zúñiga,0,0,35,975,13,10.0,224.8,39.0,3,198,27.4,4,0,2,0.1,280
Bernardo Mota Veiga de Carvalho e Silva,6,5,112,1514,10,508.7,475.6,464.0,8,440,144.4,9,0,0,1.4,256
Bertrand Traore,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,91
Billy Jones,1,0,56,2270,49,387.5,476.8,270.0,6,368,113.5,5,0,8,0.1,343
Boaz Myhill,0,0,1,90,1,0.0,12.2,0.0,0,7,1.2,0,0,1,3.5,849
Bojan Krkic,3,0,30,475,12,84.5,125.4,114.0,4,93,32.1,0,0,1,0.7,335
Bojan Krkic Perez,0,0,2,71,1,13.3,0.0,6.0,0,5,1.9,0,0,0,0.0,344
Borja Bastón,1,2,32,561,11,91.9,59.0,190.0,1,83,33.1,1,0,0,0.0,507
